Rk,Tm,W,L,W-L%,R,RA,Rdiff
,,,,,,,
1,Los Angeles Dodgers,98,64,0.605,5.2,4.2,1
2,Philadelphia Phillies,95,67,0.586,4.8,4.1,0.7
3,New York Yankees,94,68,0.58,5,4.1,0.9
4,Milwaukee Brewers,93,69,0.574,4.8,4,0.8
5,San Diego Padres,93,69,0.574,4.7,4.1,0.6
6,Cleveland Guardians,92,69,0.571,4.4,3.9,0.5
7,Baltimore Orioles,91,71,0.562,4.9,4.3,0.5
8,Atlanta Braves,89,73,0.549,4.3,3.7,0.6
9,Arizona Diamondbacks,89,73,0.549,5.5,4.9,0.6
10,New York Mets,89,73,0.549,4.7,4.3,0.4
11,Houston Astros,88,73,0.547,4.6,4,0.6
12,Kansas City Royals,86,76,0.531,4.5,4,0.6
13,Detroit Tigers,86,76,0.531,4.2,4,0.2
14,Seattle Mariners,85,77,0.525,4.2,3.7,0.4
15,St. Louis Cardinals,83,79,0.512,4.1,4.4,-0.3
16,Chicago Cubs,83,79,0.512,4.5,4.1,0.4
17,Minnesota Twins,82,80,0.506,4.6,4.5,0
18,Boston Red Sox,81,81,0.5,4.6,4.6,0
19,Tampa Bay Rays,80,82,0.494,3.7,4.1,-0.4
20,San Francisco Giants,80,82,0.494,4.3,4.3,0
21,Texas Rangers,78,84,0.481,4.2,4.6,-0.3
22,Cincinnati Reds,77,85,0.475,4.3,4.3,0
23,Pittsburgh Pirates,76,86,0.469,4.1,4.6,-0.5
24,Toronto Blue Jays,74,88,0.457,4.1,4.6,-0.4
25,Washington Nationals,71,91,0.438,4.1,4.7,-0.6
26,Oakland Athletics,69,93,0.426,4,4.7,-0.7
27,Los Angeles Angels,63,99,0.389,3.9,4.9,-1
28,Miami Marlins,62,100,0.383,3.9,5.2,-1.3
29,Colorado Rockies,61,101,0.377,4.2,5.7,-1.5
30,Chicago White Sox,41,121,0.253,3.1,5,-1.9
,Average,80,80,0.5,4.4,4.4,